"name","cat"
"M1_A01","CCAFib"
"M1_A02","CCIiFib"
"M1_A03","CCIiCM"
"M1_A05","CCAiCM"
"M1_A06","CCIipCM"
"M1_A08","CCIipCM"
"M1_A09","CCIipCM"
"M1_A10","CCIiCM"
"M1_B01","CCIipCM"
"M1_B03","CCIiFib"
"M1_B04","CCIiCM"
"M1_B05","CCIiCM"
"M1_B06","CCIipCM"
"M1_B07","CCAFib"
"M1_B08","CCIiCM"
"M1_B09","CCIipCM"
"M1_B10","CCIFib"
"M1_C01","CCIiFib"
"M1_C02","CCIiFib"
"M1_C03","CCIiCM"
"M1_C04","CCIiCM"
"M1_C05","CCAiFib"
"M1_C06","CCIiFib"
"M1_C07","CCIiCM"
"M1_C08","CCIipCM"
"M1_D01","CCAiFib"
"M1_D02","CCIiFib"
"M1_D03","CCIiCM"
"M1_D04","CCIipCM"
"M1_D05","CCAiFib"
"M1_D06","CCIipCM"
"M1_D08","CCIiCM"
"M1_D09","CCIiFib"
"M1_E01","CCAiFib"
"M1_E02","CCIiFib"
"M1_E03","CCAiFib"
"M1_E04","CCAiFib"
"M1_E05","CCIipCM"
"M1_E06","CCIipCM"
"M1_E07","CCAFib"
"M1_E08","CCIiFib"
"M1_E09","CCIiFib"
"M1_F01","CCIipCM"
"M1_F02","CCIipCM"
"M1_F03","CCIiFib"
"M1_F04","CCAiFib"
"M1_F05","CCIipCM"
"M1_F06","CCIipCM"
"M1_F08","CCIiFib"
"M1_G01","CCIipCM"
"M1_G02","CCIiFib"
"M1_G03","CCIipCM"
"M1_G04","CCIiCM"
"M1_G05","CCIiFib"
"M1_G06","CCIiCM"
"M1_G07","CCIiCM"
"M1_G08","CCIiFib"
"M1_G09","CCIipCM"
"M1_H01","CCIipCM"
"M1_H02","CCIiFib"
"M1_H03","CCIiFib"
"M1_H04","CCIiFib"
"M1_H05","CCIiCM"
"M1_H06","CCIFib"
"M1_H07","CCAFib"
"M1_H08","CCAiFib"
"M1_H09","CCIipCM"
"M2_A01","CCIipCM"
"M2_A02","CCIiCM"
"M2_A03","CCIiCM"
"M2_A05","CCIipCM"
"M2_A06","CCIiCM"
"M2_A07","CCIiCM"
"M2_A08","CCIiFib"
"M2_A09","CCIipCM"
"M2_A10","CCIiCM"
"M2_A11","CCIipCM"
"M2_B01","CCIipCM"
"M2_B02","CCIipCM"
"M2_B03","CCIipCM"
"M2_B04","CCAFib"
"M2_B05","CCIiFib"
"M2_B06","CCIipCM"
"M2_B07","CCIiCM"
"M2_B08","CCIiFib"
"M2_B10","CCIipCM"
"M2_C01","CCIiFib"
"M2_C02","CCAFib"
"M2_C03","CCIiCM"
"M2_C04","CCIiCM"
"M2_C06","CCIipCM"
"M2_C08","CCIiCM"
"M2_C09","CCIiFib"
"M2_C10","CCIiCM"
"M2_D01","CCIipCM"
"M2_D02","CCIipCM"
"M2_D03","CCIiCM"
"M2_D04","CCAiCM"
"M2_D05","CCIFib"
"M2_D06","CCIipCM"
"M2_D07","CCIipCM"
"M2_D08","CCIipCM"
"M2_D09","CCIiCM"
"M2_D10","CCIipCM"
"M2_D11","CCIFib"
"M2_E01","CCIiFib"
"M2_E02","CCIipCM"
"M2_E03","CCIipCM"
"M2_E04","CCIipCM"
"M2_E05","CCIipCM"
"M2_E06","CCIiCM"
"M2_E07","CCIiCM"
"M2_E09","CCIFib"
"M2_E10","CCAiCM"
"M2_E11","CCIiFib"
"M2_F02","CCIipCM"
"M2_F03","CCIiFib"
"M2_F04","CCIipCM"
